iter	Passed	Remaining
0	134	134129
1	135	67658
2	136	45529
3	138	34430
4	139	27836
5	142	23551
6	143	20357
7	145	17992
8	146	16130
9	147	14629
10	149	13401
11	150	12399
12	151	11535
13	153	10784
14	154	10171
15	156	9628
16	157	9134
17	159	8691
18	160	8297
19	162	7951
20	163	7619
21	164	7319
22	166	7063
23	167	6820
24	169	6625
25	171	6422
26	173	6238
27	175	6079
28	176	5916
29	178	5759
30	179	5619
31	181	5480
32	182	5355
33	185	5261
34	187	5173
35	189	5066
36	190	4963
37	191	4856
38	193	4759
39	194	4672
40	196	4587
41	197	4502
42	198	4424
43	199	4344
44	202	4290
45	203	4218
46	204	4148
47	205	4078
48	206	4011
49	207	3949
50	208	3888
51	210	3829
